1.0,Name,As self,As role
0.98715,"Stewart, Jon (I)",2996,39
0.985749,"Shaffer, Paul",4842,70
0.983039,"Kimmel, Jimmy",2898,50
0.981283,"O'Brien, Conan",4037,77
0.977285,"Leno, Jay",5249,122
0.976707,"Clark, Dick (I)",1845,44
0.975664,"Springer, Jerry",1323,33
0.963265,"Higgins, Steve (I)",1416,54
0.963075,"Melendez, John (IV)",1278,49
0.962603,"Roddy, Rod",3861,150
0.958281,"King, Larry (I)",1539,67
0.952663,"Roker, Al",805,40
0.952138,"Monkhouse, Bob",935,47
0.951257,"Pardo, Juanjo",1249,64
0.948913,"McPartlin, Anthony",873,47
0.947707,"Colbert, Stephen",2501,138
0.941685,"Donnelly, Declan",872,54
0.935536,"Fernבndez, Florentino (I)",1161,80
0.934479,"Maher, Bill (I)",870,61
0.933105,"Rock, Mike (I)",1088,78
0.932476,"Hitchcock, Alfred (I)",580,42
0.931106,"Cryer, Barry",446,33
0.929188,"Oliver, John (II)",538,41
0.928767,"Merton, Paul (III)",678,52
0.928433,"Timberlake, Justin",480,37
0.926387,"Goodman, Len",818,65
0.925703,"Balder, Hugo Egon",461,37
0.925581,"Philbin, Regis",1194,96
0.921697,"Cruise, Tom",565,48
0.919775,"Fallon, Jimmy",1800,157
0.919671,"Gבlvez, Christian",2347,205
0.919608,"Merritt, Mike (I)",469,41
0.917431,"Brand, Russell",400,36
0.916667,"Bass, Lance",407,37
0.916279,"Scorsese, Martin",394,36
0.916031,"Shillue, Tom",360,33
0.912563,"Vבzquez, Jesתs (II)",908,87
0.911401,"Hall, Edd",2798,272
0.910791,"Cannon, Nick (I)",633,62
0.907303,"de Leeuw, Paul",323,33
0.90678,"El Gran Wyoming",642,66
0.906183,"Sauca, Sergio",850,88
0.904936,"Treadway, Ty",495,52
0.904624,"Gernot, Viktor",313,33
0.904605,"Hanson, Arin",825,87
0.903704,"Raymond, Usher",366,39
0.903561,"Schwarzenegger, Arnold",609,65
0.902579,"Hope, Bob (I)",945,102
0.898556,"Ferguson, Craig (I)",2489,281
0.89603,"Augusto, Tito",474,55
0.893939,"Vilanch, Bruce",531,63
0.893688,"Caunes, Antoine de",538,64
0.893127,"Richter, Andy (I)",2365,283
0.890756,"Martםn, Javier (I)",318,39
0.890688,"Garcםa Hirschfeld, Carlos",660,81
0.890625,"Clary, Julian",285,35
0.889908,"Brough, Alan",291,36
0.888563,"Tarantino, Quentin",303,38
0.887608,"Cash, Johnny (I)",308,39
0.885875,"Reagan, Ronald (I)",947,122
0.885845,"Lewis, Jerry (I)",582,75
0.885417,"Sinatra, Frank",510,66
0.884947,"Brady, Wayne (I)",923,120
0.884298,"Simmons, Gene (I)",321,42
0.883065,"Carey, Drew (I)",1971,261
0.883041,"Radcliffe, Daniel",302,40
0.883002,"Wahlberg, Mark (I)",400,53
0.882629,"Gunn, Tim (I)",376,50
0.881849,"Davis Jr., Sammy (I)",515,69
0.880435,"Guzman, David (I)",405,55
0.877323,"Anka, Paul",236,33
0.877133,"Gyllenhaal, Jake",257,36
0.876676,"Allen, Woody",327,46
0.876364,"Hallyday, Johnny (I)",241,34
0.875676,"Chegwin, Keith",324,46
0.874783,"Wallace, Mike (I)",503,72
0.874539,"Jackman, Hugh",474,68
0.873362,"Gnsberg, Andrew (II)",400,58
0.873333,"Nelson, Willie (I)",393,57
0.872131,"Baddiel, David",266,39
0.871595,"Farmer, Evan",224,33
0.870748,"Mateo, Dani",256,38
0.870428,"McMahon, Ed (I)",833,124
0.869458,"RuPaul",353,53
0.868243,"Davis, BJ (I)",257,39
0.868114,"Black, Lewis",520,79
0.867893,"Stallone, Sylvester",519,79
0.866083,"O'Grady, Paul (I)",692,107
0.866071,"Bassas, Antoni",291,45
0.864542,"Buffer, Michael",217,34
0.864,"Stermann, Dirk",324,51
0.861878,"Grissemann, Christoph",312,50
0.861624,"Valladares, Paco",467,75
0.861538,"Castro, Jimmy (I)",448,72
0.861314,"Smith, Kevin (I)",354,57
0.860627,"Blair, Lionel",247,40
0.858736,"Bon Jovi, Jon",231,38
0.857708,"Amos, Stephen K.",217,36
0.856757,"Kimmet, Brian",317,53
0.855705,"Giusti, Massimiliano",255,43
0.855362,"Perry, Rodney (I)",343,58
0.855172,"O'Donohue, Anthony",372,63
0.854772,"Perry, Tyler (I)",206,35
0.853755,"Affleck, Ben",432,74
0.853081,"Lange, Artie",720,124
0.851449,"Knoxville, Johnny",235,41
0.851064,"Hall, Arsenio",840,147
0.85098,"Tosh, Daniel",217,38
0.849582,"Connick Jr., Harry",305,54
0.849462,"Rodman, Dennis",237,42
0.848837,"Pang, Sam",219,39
0.84878,"Bowie, David (I)",348,62
0.847534,"Gott, Karel",189,34
0.846847,"Tyson, Mike (I)",282,51
0.846591,"Martin, Steve (I)",447,81
0.84657,"Kelly, Matthew (I)",469,85
0.845815,"Wayans, Keenen Ivory",192,35
0.845494,"Attell, Dave",197,36
0.845361,"Brigstocke, Marcus",246,45
0.845133,"T.I.",191,35
0.84472,"50 Cent",272,50
0.844156,"Peeters, Bart (I)",195,36
0.84252,"Crowe, Russell",321,60
0.841897,"Lineker, Gary",213,40
0.841328,"Ford, Harrison (I)",456,86
0.840212,"Harvey, Steve (I)",794,151
0.83945,"Kamphues, Rob",183,35
0.839041,"Nye, Bill",245,47
0.837104,"Mason, Jackie (I)",185,36
0.836364,"Tatum, Channing",230,45
0.834821,"Schanze, Michael",187,37
0.834008,"Bedos, Guy",206,41
0.833992,"Gurruchaga, Javier",211,42
0.833333,"Marzouk, Omar",165,33
0.833333,"Carolla, Adam (I)",455,91
0.832753,"Jupitus, Phill",478,96
0.831731,"Florentine, Jim",173,35
0.831683,"Karamazov, Vladimir",168,34
0.830882,"Conley, Brian (I)",226,46
0.830549,"Roberts, Justin (I)",348,71
0.830239,"Dickson, Peter (III)",626,128
0.829653,"Tal, Erez",263,54
0.829167,"Roth, J.D. (I)",199,41
0.829004,"Davies, Alan (I)",383,79
0.828319,"Damon, Matt",468,97
0.827809,"Sobera, Carlos",1024,213
0.827586,"Conran, Alexis",168,35
0.827309,"Diesel, Vin",206,43
0.826715,"Pryor, Richard",229,48
0.826087,"Waters, John (I)",228,48
0.825123,"Miller, Dennis (I)",670,142
0.824201,"Wilmore, Larry",361,77
0.823759,"Josי, Herman",846,181
0.82364,"Diges, Daniel",439,94
0.823529,"Ice Cube",266,57
0.823435,"Rogan, Joe (I)",513,110
0.823162,"Urtizberea, Mex",1187,255
0.823105,"Banderas, Antonio",456,98
0.821622,"Gervais, Ricky",456,99
0.819876,"Dee, Jack (I)",264,58
0.819242,"Gibson, Mel (I)",281,62
0.819121,"Costner, Kevin",317,70
0.818966,"Bailey, Bill (I)",285,63
0.817439,"Harper, Bob (II)",300,67
0.817241,"Barassi, Darםo",237,53
0.817121,"Jonas, Joe",210,47
0.816594,"Bloom, Orlando",187,42
0.816254,"Bruel, Patrick",231,52
0.816199,"Efron, Zac",262,59
0.816024,"Bardem, Javier",275,62
0.81592,"DiCaprio, Leonardo",328,74
0.814208,"Polanski, Roman (I)",149,34
0.81323,"Newton, Wayne",209,48
0.813084,"Jonas, Kevin",174,40
0.812808,"Corman, Roger",165,38
0.811414,"McConaughey, Matthew",327,76
0.81068,"Pocher, Oliver",334,78
0.810379,"Hart, Kevin (I)",406,95
0.808163,"Jrgens, Udo",198,47
0.807692,"McGuinness, Paddy (II)",168,40
0.807692,"Gethard, Chris",189,45
0.806228,"Pitt, Brad",466,112
0.805405,"Dall, Karl",149,36
0.805281,"Mammon, Jey",244,59
0.804469,"Beatty, Warren (I)",144,35
0.802239,"Wallace, George (II)",215,53
0.802083,"Pasquale, Joe (II)",154,38
0.801872,"Jillette, Penn",514,127
0.801394,"Thomason, Tanner",230,57
0.800425,"Kraus, Jan (I)",377,94
0.8,"Reyne, David",244,61
0.8,"Coolio (I)",232,58
0.8,"Casademunt, ְlex",204,51
0.799277,"Starr, Ringo",442,111
0.799257,"Davidson, Jim (V)",215,54
0.799186,"Cronkite, Walter (I)",589,148
0.79878,"Watts, Reggie",262,66
0.797571,"Domingo, Robi",197,50
0.797297,"Teller",354,90
0.796253,"Aznavour, Charles",340,87
0.794737,"Lewis, Brian (XIV)",151,39
0.793478,"Blanco, Roberto (I)",146,38
0.793103,"Lee, Kwang Soo (I)",207,54
0.792746,"Gleisner, Tom",306,80
0.79235,"Salley, John",145,38
0.792157,"Ross, Jeffrey (I)",202,53
0.791954,"Hardwick, Chris (I)",689,181
0.790393,"Dubosc, Franck (I)",181,48
0.789855,"Hanks, Tom",654,174
0.788945,"Gutierrez, Richard (I)",157,42
0.788462,"Cenac, Wyatt",164,44
0.787879,"Bremner, Rory",156,42
0.787013,"Yakusho, Kפji",303,82
